FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS,TARGET
3.2,1.16,-0.98,54.2,-0.567,23,268,0.9928,3.33,-0.59,9.9,0,8,2,3
4.5,0.16,-0.81,26.1,-0.425,15,-327,1.02792,3.38,0.7,14.5,-1,7,3,3
7.1,2.64,-0.88,14.8,0.037,214,142,0.99518,3.12,0.48,22,-1,8,3,5
5.7,0.385,0.04,18.8,-0.425,22,115,0.9964,2.24,1.83,6.2,-1,6,1,3
8,0.33,-1.26,9.4,-0.131,-167,108,0.99457,3.12,1.77,13.7,0,9,2,4
7.7,0.29,-0.4,21.5,0.06,287,156,0.99572,3.49,1.21,10.3,0,8,Unrated,0
6.5,-1.22,0.34,1.4,0.04,523,551,1.03236,3.2,1.05,11.6,1,7,3,4
5.5,-0.22,0.39,1.8,-0.277,62,180,0.94724,3.09,0.75,12.6,0,8,4,6
-17.2,0.52,0.15,-33.8,-0.022,551,65,0.9934,4.31,0.56,13.1,1,5,1,0
9,0.22,0.49,10.4,-0.15,19,195,1.05918,3.01,-0.4,10.2,0,10,2,4
6,0.33,-1.06,3,0.518,5,378,0.96643,3.55,-0.86,3.9,1,7,2,3
14.9,0.32,0.34,1.3,0.042,20,72,0.95523,2.93,2.16,12,2,8,3,7
21.8,0.51,1.83,2.9,-0.165,-49,45,0.9974,6.02,2.23,12.1,0,9,Unrated,4
5.7,0.5,-0.11,6.1,0.071,234,-331,0.9978,3.35,1.05,6.8,0,8,Unrated,0
7.9,0.6,0.06,50.4,0.069,15,339,0.9964,3.3,0.46,3.9,1,9,Unrated,0
-1.3,0.22,2.95,-53,0.541,-85,-266,0.99672,3.61,0.82,10,0,8,3,4
6.8,0.475,-0.2,-50.75,0.047,-88,508,0.99403,3.23,0.35,18.3,-1,8,2,4
6.5,0.24,0.24,-18.2,-0.182,15,60,1.00916,3.19,-1.01,9.8,-1,7,1,2
7.1,0.97,0.25,11.2,0.135,32,180,1.00278,3.14,0.42,9.5,0,8,1,3
4,0.35,0.67,4.2,0.333,-257,-126,0.98345,3.19,1.7,6.2,1,8,Unrated,4
2.7,-1.02,-0.53,-44,0.174,-60,72,0.99519,3.18,0.4,15.2,-1,7,Unrated,0
6.4,2.21,0.56,40.4,0.055,27,-166,1.04577,1.77,-3.12,9.1,1,7,2,4
8.3,-2.46,0.27,13.2,0.036,31,111,0.99408,1.95,0.02,13,1,7,4,6
7.4,0.36,0.06,33.8,-0.365,-135,39,0.99615,4.05,0.48,16,-1,8,1,3
5.7,0.25,0.27,10.8,0.05,58,-243,0.95643,3.1,-0.21,9.8,0,6,3,4
-3.8,-0.28,-1.2,16.2,0.048,44,147,0.9972,3.3,0.52,2.1,0,6,Unrated,0
14.8,1.17,-0.09,1.5,0.027,-166,75,0.99,3.3,0.33,12.5,0,8,2,5
6.9,0.3,0.29,1.3,0.179,24,189,1.02393,3.29,-0.83,-3.1,1,7,1,0
3.2,0.47,0.3,41.7,-0.058,-160,135,0.9976,1.33,0.33,9.4,0,9,Unrated,0
13,0.34,0.46,4.7,0.029,-244,94,1.00111,1.42,1.74,17.3,1,7,2,5
19.3,1.75,0.36,52.3,0.075,63,48,1.02917,3.34,1.85,13.5,-2,9,1,1
